country_iso3,t,gdp,gdpcap,pop,source
TKM,2030,102525122185.18773,14628.518013767794,7008578.865521104,OptionA
TKM,2035,128683880800.87631,17938.51245628085,7173609.356656547,OptionA
TKM,2040,151303620145.70328,20723.22139977585,7301163.136120325,OptionA
TKM,2045,171374071447.99503,23194.50808022701,7388562.450008974,OptionA
TKM,2050,187957423806.15692,25281.885364313915,7434470.218406419,OptionA
TKM,2055,201509278087.26132,27101.577280645703,7435333.966011158,OptionA
TKM,2060,212702002522.486,28760.75040389255,7395565.120362728,OptionA
TKM,2065,222021701170.85815,30301.05839283171,7327192.941332426,OptionA
TKM,2070,228751224519.39377,31614.545130017443,7235632.319827325,OptionA
TLS,2012,1160555039.5788,1022.61906675901,1134885.0,WB
TLS,2013,1395727420.71268,1204.56843320518,1158695.0,WB
TLS,2014,1447535182.8616,1224.74956308733,1181903.0,WB
TLS,2015,1590282371.46446,1319.59295003154,1205131.0,WB
TLS,2016,1640464612.08088,1335.54391073349,1228312.0,WB
TLS,2017,1584878439.93596,1266.17771143471,1251703.0,WB
TLS,2018,1555988614.43594,1219.46599728983,1275959.0,WB
TLS,2019,2032550389.41316,1562.36458068032,1300945.0,WB
TLS,2020,2162619240.86927,1630.86938521256,1326053.0,WB
TLS,2021,3625024341.27346,2684.92676774277,1350139.0,WB
TLS,2022,3208599889.00965,2343.24954740187,1369295.0,WB
TLS,2023,2079767170.22651,1502.41147438211,1384286.0,WB
TLS,2024,1865608515.41321,1331.9705130185,1400638.0,WB
TLS,2025,3370511285.989626,2298.339361759646,1466498.525878749,OptionA
TLS,2030,4644678242.725319,2905.910092854217,1598355.7970863662,OptionA
TLS,2035,6221095903.017464,3620.837768990175,1718137.154969106,OptionA
TLS,2040,8277925805.430302,4541.332554660723,1822796.6584245744,OptionA
TLS,2045,10918460048.197577,5707.366967722929,1913046.7884657013,OptionA
TLS,2050,14161415991.40191,7102.939838416716,1993740.1010788467,OptionA
TLS,2055,18039375706.298244,8750.239058881636,2061586.613223782,OptionA
TLS,2060,22502426232.666245,10650.535674832505,2112797.601893402,OptionA
TLS,2065,27759924709.207867,12850.80085609636,2160170.7955842055,OptionA
TLS,2070,33994885323.397636,15400.677547511956,2207362.9694876415,OptionA
